Cropland,Impervious,Forest,Other,Light,Pop,Pgdp,aet_mm_syr,ele_mt_smx,ele_mt_smx,ari_ix_sav,cly_pc_sav,cmi_ix_syr,crp_pc_sse,dis_m3_pmn,dis_m3_pmx,dis_m3_pyr,dor_pc_pva,ele_mt_sav,ele_mt_smn,ele_mt_smx,ele_mt_smx,ero_kh_sav,for_pc_sse,gwt_cm_sav,ire_pc_sse,kar_pc_sse,lit_cl_smj,pac_pc_sse,pet_mm_syr,pre_mm_syr,pst_pc_sse,ria_ha_usu,riv_tc_usu,run_mm_syr,sgr_dk_sav,slp_dg_sav,slt_pc_sav,snd_pc_sav,soc_th_sav,swc_pc_syr,tmp_dc_smn,tmp_dc_smx,tmp_dc_syr
0.501938518,0.18379935,0.145316061,0.168946071,54.47832817,258911.5,51899.5,1040.090325,353.8636727,353.8636727,142.1714564,21.25338423,29.14161356,66.68622369,7.374,68.501,32.794,0,23.49283361,-3.253384228,353.8636727,353.8636727,8713.425435,8.065223882,162.3026836,14.14478055,0,9,0,1173.273255,1659.810825,0.634845099,110.245,271.204,1237.511909,7.441146638,38.19013353,34.3651549,44.38146087,22.91213616,86.25338423,150.3651549,287.3651549,227
0.18148988,0.02696731,0.77427381,0.017269,8.701378509,2123303.75,22062.40591,1147.062222,803.0858266,803.0858266,128.4212525,23.58136976,21.7431292,13.9346708,479.739,3259.346,1557.891,80,245.3984871,62.3697194,803.0858266,803.0858266,4070.601489,71.10011622,328.9679338,11.10110537,6.284396268,5,0.655529268,1272.900881,1630.851029,4.760413834,21192.668,391278.861,918.2538443,111.0826302,97.44000907,33.51674346,42.97186994,22.60797508,86.40136238,115.4973598,281.2272486,206.8928914
0.31389811,0.392772444,0.226724843,0.066604603,62.40444444,703097.25,41429.75,1171.077269,155.5046534,155.5046534,135.2533692,23.82798545,25.90152987,38.75470263,251.272,2255.339,1045.633,540,30.20942371,-2.638713174,155.5046534,155.5046534,9112.040746,2.910460502,102.8533846,22.74504007,0,8,0,1308.848825,1771.237646,2.041666604,15021.147,278604.234,1012.386256,17.70129558,31.48586287,35.40208485,40.7699297,12.99202463,85.48507675,139.5691786,288.9856317,222.9950792
0.413101556,0.04706244,0.508959406,0.030876598,17.49875069,1970861.5,24936.76339,1000.770164,540.9167952,540.9167952,122.9296222,23.91086966,17.41282559,26.74075176,35.291,370.903,185.514,82,90.62096649,10.11071923,540.9167952,540.9167952,6922.695851,45.52531064,194.1233054,19.17819188,0.519736461,5,1.423262625,1208.258384,1481.78452,18.74445783,1767.324,17922.684,1191.705661,53.2730441,52.66166491,34.07779951,42.06892783,17.35153951,79.60871448,143.9535689,284.4372508,222.6218174
0.251726907,0.697461874,0.015382826,0.035428393,62.99746193,1321277.25,44412.66667,1154,83,83,128,25,22,5,1.91,15.204,7.497,0,3,-14,83,83,5036,0,15,40,0,3,0,1304,1666,0,51.038,179.644,952,6,5,35,40,8,84,140,289,223
0.276597188,0.509545926,0.104715411,0.109141475,62.46706587,1621339.75,33741,1156.058322,270.6011526,270.6011526,135.3225104,24.18333195,26.16125519,23.75043779,2.312,32.214,13.491,0,15.32131958,-6.850429466,270.6011526,270.6011526,8281.376363,1.225002082,55.76645875,19.93496055,0,1,0,1299.369147,1758.339264,3.310825726,91.463,299.081,1028.154639,19.74382163,17.06255608,34.83874481,40.97792325,11.28874897,85,143.408334,288.8387448,225
0.338201759,0.527119455,0.025369464,0.109309321,62.31324582,1716722.5,42059.75,1131.932195,146.0845028,146.0845028,125.7141942,23.4807164,20.4807164,36.47239493,4.176,32.337,16.201,0,3.856467801,-3.991553541,146.0845028,146.0845028,4812.820994,0.524598007,23.85059444,19.46384137,0,1,0,1288.368147,1620.020509,0,135.781,742.611,963.8691216,4.49046236,7.819200106,35.23347777,41.28580583,15.61992481,84,142.2334778,289.5192836,224.2334778
0.402429481,0.190741079,0.318999256,0.087830184,44.3794964,385206.5,25053,1084.34901,461.5453438,461.5453438,121.4410361,23,17.44103609,59.26175784,3005.514,17991.35,9086.394,103,47.18405128,-1.441036087,461.5453438,461.5453438,16517.69261,14.85616999,138.3940047,21.23585565,0,9,0,1258.261758,1522.523516,3.794819563,206603.109,6876836,1006.327881,32.59441215,38.53306173,34.55896391,42.44103609,17.32310826,82.44103609,141.8820722,288.3231083,223.8820722
0.171146924,0.028546926,0.766878618,0.033427533,9.316743041,2093108.5,20677.3288,1138.466699,705.9787144,705.9787144,120.0151798,23.75412468,16.03360599,14.17462967,2365.924,15700.646,7420.139,109,175.0566622,21.60118042,705.9787144,705.9787144,4864.936669,62.7641543,323.0188534,10.69717334,2.328455621,9,4.328322575,1293.651673,1548.234211,5.744959135,181217.938,6119616.5,823.7893604,90.46347396,96.92054818,33.55842711,42.75336822,21.44809529,83.8870407,127.8726332,285.6927234,215.4973207
0.335868687,0.189869501,0.446706259,0.027555553,39.66448059,4743966,48089.09896,1187.125138,539.7727531,539.7727531,145.942849,23.91792195,30.92889219,36.95414435,31.436,294.901,131.531,174,132.8431052,33.10483032,539.7727531,539.7727531,10869.42829,26.48509555,205.1019609,21.28332533,0,3,0.261926526,1299.014584,1891.369012,0.493776677,1383.528,14620.815,1077.166389,61.99714694,57.63221952,36.14405006,40.09098646,19.19203992,87.84509499,128.011662,283.5207018,214.5859738
