BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
1.7816145833333334,1.6373299321428572,2.225625,2.0033431374117647,2.275544217857143,3.321938775510204,2.130017006632653,1.8503125,3.0084353739795917,2.0587925168367347,1.712704081632653,3.17406666684,2.5468248889199994,3.4627604166666663,1.7891666666666666,2.1689795918367345,2.082738095408163,1.8777210882653061,1.622704081632653,1.7277604166666667,2.967083333333333,2.0368707484693878,1.3870748301020408,2.2750680270408163
1.7844791666666666,1.6368231294285713,2.22125,2.0228496733529413,2.2849659865714287,3.3458163265306125,2.142217686897959,1.853125,3.036972788938775,2.068544217510204,1.7156122448979592,3.1798000001799998,2.5468248889199994,3.4692708333333333,1.7983333333333333,2.181938775510204,2.10004761922449,1.8798299317959184,1.621612244897959,1.7292708333333333,2.9941666666666666,2.038945578408163,1.3925578233061224,2.2788707481224493
1.78734375,1.6363163267142857,2.216875,2.0423562092941174,2.2943877552857144,3.3696938775510206,2.1544183671632653,1.8559375,3.065510203897959,2.0782959181836733,1.7185204081632652,3.18553333352,2.5468248889199994,3.47578125,1.8075,2.1948979591836735,2.1173571430408162,1.8819387753265306,1.6205204081632654,1.73078125,3.02125,2.0410204083469385,1.398040816510204,2.2826734692040818
1.7902083333333334,1.635809524,2.2125,2.061862745235294,2.303809524,3.3935714285714287,2.166619047428571,1.85875,3.094047618857143,2.088047618857143,1.7214285714285713,3.19126666686,2.5468248889199994,3.4822916666666663,1.8166666666666667,2.2078571428571427,2.134666666857143,1.884047618857143,1.6194285714285714,1.7322916666666666,3.0483333333333333,2.0430952382857144,1.4035238097142857,2.2864761902857142
1.7930729166666666,1.6353027212857143,2.208125,2.0813692811764706,2.3132312927142857,3.417448979591837,2.1788197276938774,1.8615625,3.1225850338163266,2.097799319530612,1.7243367346938774,3.1970000002,2.5468248889199994,3.4888020833333333,1.8258333333333334,2.2208163265306125,2.1519761906734693,1.8861564623877551,1.6183367346938775,1.7338020833333332,3.0754166666666665,2.0451700682244898,1.4090068029183673,2.290278911367347
1.7959375,1.6347959185714285,2.20375,2.1008758171176467,2.3226530614285714,3.441326530612245,2.1910204079591837,1.864375,3.15112244877551,2.1075510202040815,1.7272448979591837,3.20273333354,2.5468248889199994,3.4953125,1.835,2.2337755102040817,2.1692857144897957,1.8882653059183674,1.6172448979591836,1.7353125,3.1025,2.047244898163265,1.414489796122449,2.2940816324489797
1.7988020833333334,1.6342891158571429,2.199375,2.1203823530588233,2.332074830142857,3.465204081632653,2.2032210882244896,1.8671875,3.1796598637346936,2.117302720877551,1.7301530612244898,3.2084666668799997,2.5468248889199994,3.5018229166666663,1.8441666666666667,2.246734693877551,2.1865952383061225,1.8903741494489796,1.6161530612244899,1.7368229166666667,3.129583333333333,2.0493197281020405,1.4199727893265306,2.297884353530612
1.8016666666666667,1.633782313142857,2.195,2.139888889,2.341496598857143,3.489081632653061,2.215421768489796,1.8699999999999999,3.2081972786938775,2.12705442155102,1.7330612244897958,3.21420000022,2.5468248889199994,3.5083333333333333,1.8533333333333333,2.2596938775510202,2.203904762122449,1.8924829929795919,1.615061224489796,1.7383333333333333,3.1566666666666667,2.0513945580408164,1.4254557825306122,2.301687074612245
1.80453125,1.6332755104285714,2.190625,2.1593954249411764,2.3509183675714285,3.5129591836734693,2.2276224487551017,1.8728125,3.2367346936530614,2.1368061222244896,1.735969387755102,3.2199333335599998,2.5468248889199994,3.51484375,1.8625,2.27265306122449,2.2212142859387756,1.8945918365102041,1.613969387755102,1.73984375,3.18375,2.0534693879795918,1.4309387757346939,2.3054897956938776
1.8073958333333333,1.6327687077142856,2.18625,2.178901960882353,2.360340136285714,3.5368367346938774,2.239823129020408,1.8756249999999999,3.265272108612245,2.146557822897959,1.7388775510204082,3.2256666669,2.5468248889199994,3.5213541666666663,1.8716666666666666,2.2856122448979592,2.238523809755102,1.8967006800408164,1.612877551020408,1.7413541666666665,3.2108333333333334,2.055544217918367,1.4364217689387755,2.3092925167755105
