BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.034687499999999996,0.035030612,0.089,0.060030612489795916,0.05302244873469388,0.09376734669387754,0.07410204081632653,1.7899375,0.08675510228571429,0.06331020383673469,0.04616326506122449,0.05128571428571428,0.08359716672,0.103625,0.062625,0.07481632653061224,0.05903265281632653,0.04390816302040816,0.036030612,0.0250625,0.13175,0.06606122448979591,0.0388775507755102,0.07321428546938777
0.034609375,0.035323128999999995,0.08875,0.06065646283673469,0.05334251675510204,0.09376088410204081,0.07463265306122449,1.7604635416666667,0.08774829957142857,0.06384659838775511,0.04644557797959184,0.05257142857142857,0.08359716672,0.10344791666666667,0.062489583333333334,0.07606122448979591,0.05875578206122449,0.04436394532653061,0.036323128999999996,0.025119791666666665,0.13252083333333334,0.06647959183673469,0.039124149408163264,0.07376190451020409
0.03453125,0.035615646,0.0885,0.06128231318367347,0.05366258477551021,0.09375442151020408,0.07516326530612245,1.7309895833333333,0.08874149685714286,0.06438299293877552,0.04672789089795919,0.05385714285714285,0.08359716672,0.10327083333333334,0.06235416666666667,0.0773061224489796,0.05847891130612245,0.04481972763265306,0.036615646,0.025177083333333333,0.13329166666666667,0.06689795918367347,0.03937074804081633,0.07430952355102041
0.034453125,0.035908163,0.08825,0.061908163530612244,0.05398265279591837,0.09374795891836735,0.07569387755102042,1.701515625,0.08973469414285715,0.06491938748979592,0.047010203816326535,0.05514285714285714,0.08359716672,0.10309375,0.06221875,0.07855102040816327,0.058202040551020406,0.04527550993877551,0.036908163,0.025234375,0.1340625,0.06731632653061224,0.03961734667346939,0.07485714259183673
0.034374999999999996,0.03620068,0.088,0.06253401387755102,0.05430272081632653,0.0937414963265306,0.07622448979591837,1.6720416666666666,0.09072789142857143,0.06545578204081633,0.04729251673469388,0.056428571428571425,0.08359716672,0.10291666666666667,0.06208333333333334,0.07979591836734694,0.05792516979591837,0.045731292244897956,0.03720068,0.025291666666666667,0.13483333333333333,0.06773469387755102,0.039863945306122445,0.07540476163265307
0.034296875,0.036493197,0.08775,0.0631598642244898,0.0546227888367347,0.09373503373469387,0.07675510204081633,1.6425677083333334,0.09172108871428572,0.06599217659183673,0.04757482965306123,0.05771428571428571,0.08359716672,0.10273958333333333,0.06194791666666667,0.08104081632653061,0.05764829904081633,0.046187074551020404,0.037493197,0.025348958333333334,0.13560416666666666,0.06815306122448979,0.04011054393877551,0.07595238067346939
0.03421875,0.036785714,0.0875,0.06378571457142856,0.05494285685714286,0.09372857114285714,0.07728571428571429,1.61309375,0.09271428599999999,0.06652857114285715,0.04785714257142857,0.059,0.08359716672,0.1025625,0.061812500000000006,0.08228571428571428,0.05737142828571429,0.04664285685714286,0.037785714,0.02540625,0.136375,0.06857142857142856,0.04035714257142857,0.07649999971428573
0.034140625,0.037078231,0.08725,0.06441156491836734,0.05526292487755102,0.09372210855102041,0.07781632653061224,1.5836197916666668,0.09370748328571428,0.06706496569387756,0.04813945548979592,0.06028571428571428,0.08359716672,0.10238541666666667,0.061677083333333334,0.08353061224489797,0.057094557530612246,0.04709863916326531,0.038078231,0.025463541666666666,0.13714583333333333,0.06898979591836735,0.04060374120408163,0.07704761875510205
0.034062499999999996,0.037370747999999995,0.087,0.06503741526530613,0.05558299289795919,0.09371564595918366,0.0783469387755102,1.5541458333333333,0.09470068057142857,0.06760136024489796,0.048421768408163264,0.06157142857142857,0.08359716672,0.10220833333333333,0.06154166666666667,0.08477551020408164,0.056817686775510204,0.04755442146938776,0.038370747999999996,0.025520833333333333,0.13791666666666666,0.06940816326530612,0.040850339836734695,0.07759523779591837
0.033984375,0.037663265,0.08675,0.06566326561224489,0.05590306091836735,0.09370918336734693,0.07887755102040817,1.5246718750000001,0.09569387785714285,0.06813775479591837,0.04870408132653061,0.06285714285714286,0.08359716672,0.10203125,0.06140625,0.08602040816326531,0.05654081602040816,0.048010203775510206,0.038663265,0.025578125,0.1386875,0.06982653061224489,0.04109693846938775,0.0781428568367347
